experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,accuracy,macro_f1
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,val,0.6860693263570962,0.6936604305833839
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,cis,0.7491651934786879,0.6991818122451762
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,0.5560531840447865,0.4573704624788483
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,0.7396991497710922,0.7352324356603798
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,0.7619328226281673,0.7019165080298936
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,trans,0.5637508747375787,0.45228873786386453
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,val,0.5748855461085677,0.5905429398687128
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,cis,0.5507758790021606,0.5412068162967072
cross_location_resnet101_image_background_only_seed42,cross_location_resnet101_image_background_only_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_background_only_seed42_20260509_145413,10,macro_f1,0.5905429398687128,trans,0.43498950314905527,0.32765720720389946
cross_location_resnet101_image_foreground_only_seed42,cross_location_resnet101_image_foreground_only_seed42_20260509_145446,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_foreground_only_seed42_20260509_145446,13,macro_f1,0.6605577220241531,val,0.6742969260954872,0.6605577220241531
cross_location_resnet101_image_foreground_only_seed42,cross_location_resnet101_image_foreground_only_seed42_20260509_145446,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_foreground_only_seed42_20260509_145446,13,macro_f1,0.6605577220241531,cis,0.7432724415635436,0.6957365839500592
cross_location_resnet101_image_foreground_only_seed42,cross_location_resnet101_image_foreground_only_seed42_20260509_145446,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_foreground_only_seed42_20260509_145446,13,macro_f1,0.6605577220241531,trans,0.6069979006298111,0.4757075145957781
cross_location_resnet101_image_object_crop_seed42,cross_location_resnet101_image_object_crop_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_object_crop_seed42_20260509_145413,6,macro_f1,0.7463904872255543,val,0.749509483322433,0.7463904872255543
cross_location_resnet101_image_object_crop_seed42,cross_location_resnet101_image_object_crop_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_object_crop_seed42_20260509_145413,6,macro_f1,0.7463904872255543,cis,0.8701630328029857,0.8267250413520929
cross_location_resnet101_image_object_crop_seed42,cross_location_resnet101_image_object_crop_seed42_20260509_145413,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_image_object_crop_seed42_20260509_145413,6,macro_f1,0.7463904872255543,trans,0.7451364590622813,0.6205398516673036
cross_location_resnet101_loss_focal_seed42,cross_location_resnet101_loss_focal_seed42_20260509_142424,42,cross_location,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_loss_focal_seed42_20260509_142424,5,macro_f1,0.65438392682326,val,0.6422498364944408,0.65438392682326
cross_location_resnet101_loss_focal_seed42,cross_location_resnet101_loss_focal_seed42_20260509_142424,42,cross_location,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_loss_focal_seed42_20260509_142424,5,macro_f1,0.65438392682326,cis,0.6774700451777647,0.6482328231674321
cross_location_resnet101_loss_focal_seed42,cross_location_resnet101_loss_focal_seed42_20260509_142424,42,cross_location,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_loss_focal_seed42_20260509_142424,5,macro_f1,0.65438392682326,trans,0.4983904828551435,0.40843615947173595
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142424,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142424,8,macro_f1,0.6978723432640003,val,0.6847612818835841,0.6978723432640003
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142424,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142424,8,macro_f1,0.6978723432640003,cis,0.7281477116480063,0.6743803838231067
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142424,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142424,8,macro_f1,0.6978723432640003,trans,0.5505948215535339,0.4400549997611431
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142432,8,macro_f1,0.6978723432640003,val,0.6847612818835841,0.6978723432640003
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142432,8,macro_f1,0.6978723432640003,cis,0.7281477116480063,0.6743803838231067
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142432,8,macro_f1,0.6978723432640003,trans,0.5505948215535339,0.4400549997611431
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142902,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142902,8,macro_f1,0.7307191325380608,val,0.7155003270111184,0.7307191325380608
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142902,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142902,8,macro_f1,0.7307191325380608,cis,0.758790021606757,0.7016632981504275
cross_location_resnet101_seed42,cross_location_resnet101_seed42_20260509_142902,42,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed42_20260509_142902,8,macro_f1,0.7307191325380608,trans,0.5752274317704689,0.4608422679359556
cross_location_resnet101_seed43,cross_location_resnet101_seed43_20260509_142424,43,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed43_20260509_142424,5,macro_f1,0.701238790592224,val,0.697841726618705,0.701238790592224
cross_location_resnet101_seed43,cross_location_resnet101_seed43_20260509_142424,43,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed43_20260509_142424,5,macro_f1,0.701238790592224,cis,0.7087016303280299,0.6512935046223255
cross_location_resnet101_seed43,cross_location_resnet101_seed43_20260509_142424,43,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed43_20260509_142424,5,macro_f1,0.701238790592224,trans,0.5178446466060181,0.4173365325233492
cross_location_resnet101_seed44,cross_location_resnet101_seed44_20260509_142426,44,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed44_20260509_142426,11,macro_f1,0.6953881644018121,val,0.6769130150425114,0.6953881644018121
cross_location_resnet101_seed44,cross_location_resnet101_seed44_20260509_142426,44,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed44_20260509_142426,11,macro_f1,0.6953881644018121,cis,0.7560400707130229,0.6940893400343232
cross_location_resnet101_seed44,cross_location_resnet101_seed44_20260509_142426,44,cross_location,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_seed44_20260509_142426,11,macro_f1,0.6953881644018121,trans,0.6128761371588524,0.48193392346064634
day_to_night_resnet101_cw_none_sampler_class_balanced_seed42,day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,5,macro_f1,0.6239656896317669,val,0.6666666666666666,0.6239656896317669
day_to_night_resnet101_cw_none_sampler_class_balanced_seed42,day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,5,macro_f1,0.6239656896317669,val_night,0.5429594272076372,0.4788014329883115
day_to_night_resnet101_cw_none_sampler_class_balanced_seed42,day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,5,macro_f1,0.6239656896317669,cis_night,0.6224132441897485,0.5289000184157238
day_to_night_resnet101_cw_none_sampler_class_balanced_seed42,day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142425,5,macro_f1,0.6239656896317669,trans_night,0.4749733759318424,0.28799022351646586
day_to_night_resnet101_cw_none_seed42,day_to_night_resnet101_cw_none_seed42_20260509_142424,42,day_to_night,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_seed42_20260509_142424,11,macro_f1,0.6712430835679032,val,0.7524752475247525,0.6712430835679032
day_to_night_resnet101_cw_none_seed42,day_to_night_resnet101_cw_none_seed42_20260509_142424,42,day_to_night,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_seed42_20260509_142424,11,macro_f1,0.6712430835679032,val_night,0.6026252983293556,0.5834365354347064
day_to_night_resnet101_cw_none_seed42,day_to_night_resnet101_cw_none_seed42_20260509_142424,42,day_to_night,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_seed42_20260509_142424,11,macro_f1,0.6712430835679032,cis_night,0.6418338108882522,0.5347061542395909
day_to_night_resnet101_cw_none_seed42,day_to_night_resnet101_cw_none_seed42_20260509_142424,42,day_to_night,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_cw_none_seed42_20260509_142424,11,macro_f1,0.6712430835679032,trans_night,0.42470713525026627,0.29073356029332725
day_to_night_resnet101_image_background_only_seed42,day_to_night_resnet101_image_background_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_background_only_seed42_20260509_145412,8,macro_f1,0.5939928565034648,val,0.6468646864686468,0.5939928565034648
day_to_night_resnet101_image_background_only_seed42,day_to_night_resnet101_image_background_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_background_only_seed42_20260509_145412,8,macro_f1,0.5939928565034648,val_night,0.5119331742243437,0.41866988350794354
day_to_night_resnet101_image_background_only_seed42,day_to_night_resnet101_image_background_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_background_only_seed42_20260509_145412,8,macro_f1,0.5939928565034648,cis_night,0.5530085959885387,0.3624053455263411
day_to_night_resnet101_image_background_only_seed42,day_to_night_resnet101_image_background_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,background_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_background_only_seed42_20260509_145412,8,macro_f1,0.5939928565034648,trans_night,0.45303514376996806,0.1973521866066403
day_to_night_resnet101_image_foreground_only_seed42,day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,8,macro_f1,0.49019515924455953,val,0.5363036303630363,0.49019515924455953
day_to_night_resnet101_image_foreground_only_seed42,day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,8,macro_f1,0.49019515924455953,val_night,0.5095465393794749,0.39477830520013185
day_to_night_resnet101_image_foreground_only_seed42,day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,8,macro_f1,0.49019515924455953,cis_night,0.5631964342566061,0.4109845164737556
day_to_night_resnet101_image_foreground_only_seed42,day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,foreground_only,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_foreground_only_seed42_20260509_145412,8,macro_f1,0.49019515924455953,trans_night,0.46943556975505857,0.2347780612416202
day_to_night_resnet101_image_object_crop_seed42,day_to_night_resnet101_image_object_crop_seed42_20260509_145413,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_object_crop_seed42_20260509_145413,7,macro_f1,0.7430977722781187,val,0.7970297029702971,0.7430977722781187
day_to_night_resnet101_image_object_crop_seed42,day_to_night_resnet101_image_object_crop_seed42_20260509_145413,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_object_crop_seed42_20260509_145413,7,macro_f1,0.7430977722781187,val_night,0.6885441527446301,0.581865813574399
day_to_night_resnet101_image_object_crop_seed42,day_to_night_resnet101_image_object_crop_seed42_20260509_145413,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_object_crop_seed42_20260509_145413,7,macro_f1,0.7430977722781187,cis_night,0.7758675581025152,0.6339426633678668
day_to_night_resnet101_image_object_crop_seed42,day_to_night_resnet101_image_object_crop_seed42_20260509_145413,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,object_crop,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_image_object_crop_seed42_20260509_145413,7,macro_f1,0.7430977722781187,trans_night,0.673269435569755,0.4302401376976593
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,val,0.693069306930693,0.6181641440018331
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,val_night,0.4379474940334129,0.3910944066157887
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,cis_night,0.5587392550143266,0.4740752502952472
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,trans_night,0.42470713525026627,0.27337428671391817
